
epoch: 1, loss: 0.5259, norm: 2.9112, param_norm: 1147.4739, vb_loss: 0.0025, ce_loss: 0.5259:   0%|          | 1/235 [00:07<30:57,  7.94s/it]
epoch: 1, loss: 0.5246, norm: 1.3040, param_norm: 1149.4791, vb_loss: 0.0004, ce_loss: 0.4050:   0%|          | 1/235 [00:08<30:57,  7.94s/it]
epoch: 1, loss: 0.5229, norm: 0.7335, param_norm: 1152.2651, vb_loss: 0.0003, ce_loss: 0.3465:   0%|          | 1/235 [00:08<30:57,  7.94s/it]
epoch: 1, loss: 0.5229, norm: 0.7335, param_norm: 1152.2651, vb_loss: 0.0003, ce_loss: 0.3465:   1%|▏         | 3/235 [00:08<08:11,  2.12s/it]
epoch: 1, loss: 0.5209, norm: 0.5654, param_norm: 1155.1802, vb_loss: 0.0003, ce_loss: 0.3212:   1%|▏         | 3/235 [00:08<08:11,  2.12s/it]
epoch: 1, loss: 0.5187, norm: 0.5234, param_norm: 1158.0209, vb_loss: 0.0003, ce_loss: 0.3027:   1%|▏         | 3/235 [00:08<08:11,  2.12s/it]
epoch: 1, loss: 0.5187, norm: 0.5234, param_norm: 1158.0209, vb_loss: 0.0003, ce_loss: 0.3027:   2%|▏         | 5/235 [00:08<04:07,  1.08s/it]
epoch: 1, loss: 0.5163, norm: 0.4600, param_norm: 1160.7166, vb_loss: 0.0003, ce_loss: 0.2777:   2%|▏         | 5/235 [00:08<04:07,  1.08s/it]
epoch: 1, loss: 0.5138, norm: 0.3932, param_norm: 1163.2440, vb_loss: 0.0012, ce_loss: 0.2689:   2%|▏         | 5/235 [00:08<04:07,  1.08s/it]
epoch: 1, loss: 0.5138, norm: 0.3932, param_norm: 1163.2440, vb_loss: 0.0012, ce_loss: 0.2689:   3%|▎         | 7/235 [00:08<02:30,  1.52it/s]
epoch: 1, loss: 0.5113, norm: 0.3831, param_norm: 1165.6006, vb_loss: 0.0003, ce_loss: 0.2614:   3%|▎         | 7/235 [00:08<02:30,  1.52it/s]
epoch: 1, loss: 0.5087, norm: 0.3508, param_norm: 1167.7850, vb_loss: 0.0011, ce_loss: 0.2507:   3%|▎         | 7/235 [00:08<02:30,  1.52it/s]
epoch: 1, loss: 0.5087, norm: 0.3508, param_norm: 1167.7850, vb_loss: 0.0011, ce_loss: 0.2507:   4%|▍         | 9/235 [00:08<01:39,  2.26it/s]
epoch: 1, loss: 0.5061, norm: 0.3639, param_norm: 1169.8026, vb_loss: 0.0011, ce_loss: 0.2511:   4%|▍         | 9/235 [00:08<01:39,  2.26it/s]
epoch: 1, loss: 0.5035, norm: 0.3358, param_norm: 1171.6604, vb_loss: 0.0003, ce_loss: 0.2495:   4%|▍         | 9/235 [00:08<01:39,  2.26it/s]
epoch: 1, loss: 0.5035, norm: 0.3358, param_norm: 1171.6604, vb_loss: 0.0003, ce_loss: 0.2495:   5%|▍         | 11/235 [00:08<01:11,  3.14it/s]
epoch: 1, loss: 0.5009, norm: 0.2917, param_norm: 1173.3673, vb_loss: 0.0003, ce_loss: 0.2465:   5%|▍         | 11/235 [00:08<01:11,  3.14it/s]
epoch: 1, loss: 0.4984, norm: 0.5198, param_norm: 1174.9374, vb_loss: 0.0003, ce_loss: 0.2507:   5%|▍         | 11/235 [00:09<01:11,  3.14it/s]
epoch: 1, loss: 0.4984, norm: 0.5198, param_norm: 1174.9374, vb_loss: 0.0003, ce_loss: 0.2507:   6%|▌         | 13/235 [00:09<00:54,  4.10it/s]
epoch: 1, loss: 0.4958, norm: 0.4088, param_norm: 1176.3779, vb_loss: 0.0002, ce_loss: 0.2381:   6%|▌         | 13/235 [00:09<00:54,  4.10it/s]
epoch: 1, loss: 0.4933, norm: 0.4998, param_norm: 1177.7029, vb_loss: 0.0013, ce_loss: 0.2402:   6%|▌         | 13/235 [00:09<00:54,  4.10it/s]
epoch: 1, loss: 0.4933, norm: 0.4998, param_norm: 1177.7029, vb_loss: 0.0013, ce_loss: 0.2402:   6%|▋         | 15/235 [00:09<00:42,  5.22it/s]
epoch: 1, loss: 0.4907, norm: 0.3105, param_norm: 1178.9167, vb_loss: 0.0002, ce_loss: 0.2353:   6%|▋         | 15/235 [00:09<00:42,  5.22it/s]
epoch: 1, loss: 0.4882, norm: 0.3926, param_norm: 1180.0269, vb_loss: 0.0012, ce_loss: 0.2360:   6%|▋         | 15/235 [00:09<00:42,  5.22it/s]
epoch: 1, loss: 0.4882, norm: 0.3926, param_norm: 1180.0269, vb_loss: 0.0012, ce_loss: 0.2360:   7%|▋         | 17/235 [00:09<00:35,  6.22it/s]
epoch: 1, loss: 0.4856, norm: 0.3058, param_norm: 1181.0471, vb_loss: 0.0031, ce_loss: 0.2359:   7%|▋         | 17/235 [00:09<00:35,  6.22it/s]
epoch: 1, loss: 0.4831, norm: 0.2924, param_norm: 1181.9838, vb_loss: 0.0002, ce_loss: 0.2345:   7%|▋         | 17/235 [00:09<00:35,  6.22it/s]
epoch: 1, loss: 0.4831, norm: 0.2924, param_norm: 1181.9838, vb_loss: 0.0002, ce_loss: 0.2345:   8%|▊         | 19/235 [00:09<00:30,  7.17it/s]
epoch: 1, loss: 0.4806, norm: 0.2570, param_norm: 1182.8402, vb_loss: 0.0002, ce_loss: 0.2325:   8%|▊         | 19/235 [00:09<00:30,  7.17it/s]
epoch: 1, loss: 0.4780, norm: 0.2108, param_norm: 1183.6235, vb_loss: 0.0002, ce_loss: 0.2239:   8%|▊         | 19/235 [00:09<00:30,  7.17it/s]
epoch: 1, loss: 0.4780, norm: 0.2108, param_norm: 1183.6235, vb_loss: 0.0002, ce_loss: 0.2239:   9%|▉         | 21/235 [00:09<00:26,  8.12it/s]
epoch: 1, loss: 0.4756, norm: 0.3836, param_norm: 1184.3447, vb_loss: 0.0002, ce_loss: 0.2296:   9%|▉         | 21/235 [00:09<00:26,  8.12it/s]
epoch: 1, loss: 0.4730, norm: 0.2916, param_norm: 1185.0046, vb_loss: 0.0012, ce_loss: 0.2228:   9%|▉         | 21/235 [00:09<00:26,  8.12it/s]
epoch: 1, loss: 0.4730, norm: 0.2916, param_norm: 1185.0046, vb_loss: 0.0012, ce_loss: 0.2228:  10%|▉         | 23/235 [00:09<00:23,  8.89it/s]
epoch: 1, loss: 0.4705, norm: 0.2926, param_norm: 1185.6151, vb_loss: 0.0010, ce_loss: 0.2175:  10%|▉         | 23/235 [00:09<00:23,  8.89it/s]
epoch: 1, loss: 0.4681, norm: 0.8907, param_norm: 1186.1747, vb_loss: 0.0002, ce_loss: 0.2288:  10%|▉         | 23/235 [00:10<00:23,  8.89it/s]
epoch: 1, loss: 0.4681, norm: 0.8907, param_norm: 1186.1747, vb_loss: 0.0002, ce_loss: 0.2288:  11%|█         | 25/235 [00:10<00:22,  9.51it/s]
epoch: 1, loss: 0.4656, norm: 0.5537, param_norm: 1186.6785, vb_loss: 0.0002, ce_loss: 0.2204:  11%|█         | 25/235 [00:10<00:22,  9.51it/s]
epoch: 1, loss: 0.4631, norm: 0.3987, param_norm: 1187.1370, vb_loss: 0.0002, ce_loss: 0.2203:  11%|█         | 25/235 [00:10<00:22,  9.51it/s]
epoch: 1, loss: 0.4631, norm: 0.3987, param_norm: 1187.1370, vb_loss: 0.0002, ce_loss: 0.2203:  11%|█▏        | 27/235 [00:10<00:21,  9.75it/s]
epoch: 1, loss: 0.4607, norm: 0.4187, param_norm: 1187.5601, vb_loss: 0.0002, ce_loss: 0.2202:  11%|█▏        | 27/235 [00:10<00:21,  9.75it/s]
epoch: 1, loss: 0.4583, norm: 0.1738, param_norm: 1187.9497, vb_loss: 0.0002, ce_loss: 0.2161:  11%|█▏        | 27/235 [00:10<00:21,  9.75it/s]
epoch: 1, loss: 0.4583, norm: 0.1738, param_norm: 1187.9497, vb_loss: 0.0002, ce_loss: 0.2161:  12%|█▏        | 29/235 [00:10<00:19, 10.34it/s]
epoch: 1, loss: 0.4559, norm: 0.8893, param_norm: 1188.3103, vb_loss: 0.0002, ce_loss: 0.2233:  12%|█▏        | 29/235 [00:10<00:19, 10.34it/s]
epoch: 1, loss: 0.4536, norm: 0.7737, param_norm: 1188.6379, vb_loss: 0.0002, ce_loss: 0.2235:  12%|█▏        | 29/235 [00:10<00:19, 10.34it/s]
epoch: 1, loss: 0.4536, norm: 0.7737, param_norm: 1188.6379, vb_loss: 0.0002, ce_loss: 0.2235:  13%|█▎        | 31/235 [00:10<00:19, 10.73it/s]
epoch: 1, loss: 0.4513, norm: 0.2490, param_norm: 1188.9354, vb_loss: 0.0002, ce_loss: 0.2220:  13%|█▎        | 31/235 [00:10<00:19, 10.73it/s]
epoch: 1, loss: 0.4489, norm: 0.3584, param_norm: 1189.2083, vb_loss: 0.0010, ce_loss: 0.2170:  13%|█▎        | 31/235 [00:10<00:19, 10.73it/s]
epoch: 1, loss: 0.4489, norm: 0.3584, param_norm: 1189.2083, vb_loss: 0.0010, ce_loss: 0.2170:  14%|█▍        | 33/235 [00:10<00:18, 10.73it/s]
epoch: 1, loss: 0.4466, norm: 0.3102, param_norm: 1189.4673, vb_loss: 0.0011, ce_loss: 0.2201:  14%|█▍        | 33/235 [00:10<00:18, 10.73it/s]
